Dam_ID,Dam_Name,Station_Index,Station_Name,Distance_Downstream_km,Latitude,Longitude,Bed_Elevation_m,Station_Type,Population_Exposed,SPH_Arrival_hr,Delft3D_Arrival_hr,Evacuation_Deadline,Peak_Flood_Depth_m,Peak_Velocity_mps,Danger_Classification,Data_Source
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),1,Breach Point (Rishi Ganga Gorge),0.0,30.4905,79.6965,2040,dam,0,0.0,0.0,T+00h 00m,30.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),2,Rishi Ganga Confluence,2.2,30.485,79.689,1960,confluence,45,0.03,0.03,T+00h 02m,27.15,20.76,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),3,Raini Village (Bridge Destroyed),5.1,30.483,79.665,1850,village,320,0.08,0.07,T+00h 05m,23.79,19.24,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),4,Tapovan Vishnugad Hydel Project,9.8,30.505,79.638,1720,infrastructure,480,0.15,0.13,T+00h 09m,19.22,17.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),5,Dhake Village / Bridge,14.5,30.518,79.605,1600,village,650,0.22,0.2,T+00h 13m,15.52,15.02,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),6,Helang Barrage / Access Road,20.2,30.535,79.578,1490,infrastructure,820,0.31,0.28,T+00h 19m,11.98,12.93,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),7,Vishnuprayag Confluence (Alaknanda),26.0,30.558,79.562,1380,confluence,1500,0.4,0.36,T+00h 24m,9.2,11.1,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),8,Joshimath Outskirts Gauging Station,32.5,30.562,79.535,1280,town,4500,0.5,0.44,T+00h 30m,6.85,9.35,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,1,Subansiri Dam Axis,0.0,27.5539,94.2592,210,dam,0,0.0,0.0,T+00h 00m,95.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,2,Gerukamukh Base Camp,4.5,27.525,94.272,165,settlement,1200,0.07,0.06,T+00h 04m,77.43,19.54,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,3,Chauldhowa Ghat Bridge,12.0,27.472,94.305,130,infrastructure,2100,0.18,0.16,T+00h 11m,55.06,16.04,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,4,Gogamukh Flood Sector,22.0,27.41,94.335,110,town,8500,0.34,0.3,T+00h 20m,34.95,12.33,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,5,Ghilamara Alluvial Reach,35.0,27.325,94.38,95,town,12400,0.54,0.48,T+00h 32m,19.36,8.76,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,6,North Lakhimpur Rural Belt,48.0,27.24,94.28,88,town,28000,0.74,0.66,T+00h 44m,10.72,6.22,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
subansiri,Subansiri Lower Hydroelectric Project,7,Brahmaputra Confluence Outflow,62.0,27.15,94.18,82,confluence,15000,0.95,0.85,T+00h 57m,5.67,4.3,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,1,Tehri Dam Spillway & Axis,0.0,30.3781,78.4803,830,dam,0,0.0,0.0,T+00h 00m,235.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,2,Koteshwar Dam Reservoir,7.5,30.295,78.498,690,infrastructure,950,0.12,0.1,T+00h 07m,167.11,18.06,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,3,Srikot River Crossing,18.0,30.22,78.54,580,bridge,1800,0.28,0.25,T+00h 17m,103.69,13.7,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,4,Devprayag (Bhagirathi + Alaknanda Confluence),29.0,30.145,78.599,470,confluence,9200,0.45,0.4,T+00h 27m,62.89,10.26,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,5,Byasi Canyon Gorge,42.0,30.088,78.485,410,settlement,1400,0.65,0.57,T+00h 39m,34.83,7.28,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,6,Shivpuri Rafting Hub,56.0,30.132,78.385,360,village,3200,0.86,0.77,T+00h 52m,18.43,5.04,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
tehri,Tehri Dam,7,Rishikesh Barrage & Urban Plains,70.0,30.11,78.3,330,city,65000,1.08,0.96,T+01h 05m,9.75,3.49,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,1,Mullaperiyar Dam Crest,0.0,9.5292,77.1428,880,dam,0,0.0,0.0,T+00h 00m,43.0,22.0,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,2,Vallakadavu Settlement,3.8,9.552,77.112,820,settlement,3500,0.06,0.05,T+00h 04m,36.18,19.91,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,3,Vandiperiyar Bridge & Town,8.5,9.575,77.085,770,town,18000,0.13,0.12,T+00h 08m,29.22,17.59,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,4,Manjumala Estate Reach,18.0,9.64,77.04,720,settlement,6200,0.28,0.25,T+00h 17m,18.97,13.7,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,5,Karimban Valley,28.5,9.74,76.995,660,settlement,8900,0.44,0.39,T+00h 26m,11.77,10.39,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
mullaperiyar,Mullaperiyar Dam,6,Idukki Arch Dam Reservoir Forebay,39.0,9.83,76.955,610,infrastructure,12000,0.6,0.53,T+00h 36m,7.3,7.88,High Danger,Census of India 2011 / SRTM 30m DEM / Hydrodynamic Solver
