Dam_ID,Dam_Name,Shelter_Index,Shelter_Name,Latitude,Longitude,Absolute_Elevation_m,Elevation_Above_River_m,Capacity_Persons,Shelter_Type,Status,Data_Source
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),1,Raini Upper Ridge Disaster Shelter,30.487,79.663,2050,200,500,high_ground_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),2,Tapovan High-Ground NDRF Staging Base,30.509,79.633,1910,190,850,ndrf_base,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),3,Helang Bypass High-Ground Assembly Point,30.539,79.572,1650,160,1200,relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
rishi_ganga,Rishi Ganga Rock/Ice Dam (Chamoli 2021),4,Joshimath Cantonment Relief Center,30.569,79.541,1890,610,5000,hospital_safe_haven,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
subansiri,Subansiri Lower Hydroelectric Project,1,Gerukamukh Army Camp Ridge Shelter,27.531,94.262,260,95,2500,military_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
subansiri,Subansiri Lower Hydroelectric Project,2,Chauldhowa High-Mound Evacuation Post,27.479,94.296,160,30,1800,relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
subansiri,Subansiri Lower Hydroelectric Project,3,Gogamukh High School Raised Platform,27.418,94.342,140,30,3500,high_ground_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
subansiri,Subansiri Lower Hydroelectric Project,4,North Lakhimpur Sports Stadium Relief Hub,27.248,94.271,115,27,6000,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
tehri,Tehri Dam,1,New Tehri Hilltop Administrative Relief Center,30.392,78.471,1750,920,15000,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
tehri,Tehri Dam,2,Koteshwar Left Ridge Safe Haven Camp,30.301,78.491,820,130,2000,relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
tehri,Tehri Dam,3,Devprayag Sangam Upper Temple Plateau,30.151,78.591,580,110,4000,safe_assembly,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
tehri,Tehri Dam,4,Rishikesh AIIMS High Ground Evacuation Base,30.082,78.291,390,60,12000,hospital_safe_haven,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
mullaperiyar,Mullaperiyar Dam,1,Kumily High Ridge Disaster Relief Shelter,9.605,77.165,1020,140,6000,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
mullaperiyar,Mullaperiyar Dam,2,Vandiperiyar Tea Estate Community Hall,9.582,77.085,880,110,4500,relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
mullaperiyar,Mullaperiyar Dam,3,Manjumala Forest Reserve Plateau,9.65,77.031,820,100,2200,safe_assembly,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
mullaperiyar,Mullaperiyar Dam,4,Idukki Arch Dam Admin High Ground Shelter,9.845,76.945,740,130,3500,ndrf_base,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
kosi,Kosi River Embankment (Kusaha Reach),1,Bhimnagar Border Outpost Raised Mound,26.541,86.945,95,20,5000,raised_mound_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
kosi,Kosi River Embankment (Kusaha Reach),2,Pratapganj High School Flood Shelter Platform,26.295,86.995,86,16,7500,high_ground_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
kosi,Kosi River Embankment (Kusaha Reach),3,Raghopur Central Flood Relief Mound,26.275,86.765,80,16,9000,raised_mound_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
kosi,Kosi River Embankment (Kusaha Reach),4,Supaul Multi-Purpose Cyclone & Flood Stadium,26.115,86.612,75,17,15000,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
phuktal,Phuktal River Landslide Dam (Zanskar 2015),1,Cha Upper Mountain Ridge Shelter,33.358,77.002,3780,170,1200,high_ground_shelter,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
phuktal,Phuktal River Landslide Dam (Zanskar 2015),2,Purne High-Plateau Military Staging Base,33.409,76.952,3690,130,2500,ndrf_base,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
phuktal,Phuktal River Landslide Dam (Zanskar 2015),3,Padum District Sports Stadium Relief Haven,33.472,76.879,3610,90,5500,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
wapriyang,Wapriyang River Blockage (Arunachal 2021),1,Yingkiong High Ridge Administrative Haven,28.391,94.971,640,160,3000,district_relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
wapriyang,Wapriyang River Blockage (Arunachal 2021),2,Simong Village High-Ground Relief Post,28.305,95.061,510,150,1800,relief_camp,SAFE HAVEN,NDMA Evacuation Shelter Network / State DMA Relief Maps / SRTM DEM
